User ID,Category 1,Category 2,Category 3,Category 4,Category 5,Category 6,Category 7,Category 8,Category 9,Category 10
User 131,0.9,0.88,1.52,0.46,0.8,1.48,3.18,2.71,0.99,2.88
User 132,0.83,1.68,1.14,0.51,1.66,2.78,3.18,2.85,1.7,2.54
User 133,0.93,1.64,1.73,0.55,1.46,1.98,3.18,2.74,1.89,2.94
User 134,0.38,1.28,1.54,0.62,1.7,2.16,3.18,3.02,1.31,2.5
User 135,0.51,1.64,0.27,0.3,0.78,1.86,3.17,2.69,2.5,3.34
User 136,0.8,0.96,0.73,0.61,1.1,2.82,3.18,2.99,2.14,2.54
User 137,1.15,1.72,1.62,0.61,0.78,1.94,3.19,3.02,1.47,2.54
User 138,0.51,1.16,1.66,0.53,1.58,1.9,3.18,2.85,1.28,2.88
User 139,0.96,1.4,0.74,0.37,0.86,1.98,3.18,2.8,1.44,3.06
User 140,1.09,1.32,0.74,0.39,0.5,1.06,3.18,3.01,1.86,3.2
User 141,0.74,1.28,0.26,0.3,1.14,1.96,3.17,2.93,1.73,3.34
User 142,0.8,1.12,0.19,0.46,0.82,1.48,3.18,2.82,1.7,2.96
User 143,0.86,1.96,0.61,0.42,1.22,1.86,3.17,2.7,1.22,3.1
User 144,0.61,1.04,0.34,0.45,0.22,1.9,3.18,2.71,2.37,2.62
User 145,0.9,1.4,0.19,0.59,1.04,1.88,3.17,3.06,2.21,3.02
User 146,0.96,2.96,0.29,0.38,0.88,2.08,3.17,2.93,1.66,3.42
User 147,1.09,0.6,0.19,0.61,1.62,2.44,3.18,2.74,1.38,2.46
User 148,0.8,1.24,1.98,0.67,1.38,2.42,3.19,3.12,1.5,2.62
User 149,0.86,1.28,1.01,0.55,1.26,2.12,3.18,2.86,1.92,2.94
User 150,0.77,1.52,1.33,0.51,1.34,2.46,3.18,2.8,1.6,2.54
User 151,1.18,1.12,1.01,0.39,1.2,2.02,3.18,2.93,1.47,3.1
User 152,0.74,1.64,0.18,0.55,0.94,2,3.18,2.74,1.5,2.98
User 153,0.64,1.6,0.21,0.54,0.62,1.22,3.18,2.85,1.44,2.66
User 154,0.64,1.56,0.22,0.57,0.5,2.02,3.18,2.66,1.34,2.78
User 155,1.09,1.44,0.22,0.37,0.34,1.94,3.18,2.73,1.66,2.62
User 156,1.02,1.16,1.22,0.29,0.94,1.66,3.18,2.8,2.08,3.42
User 157,0.9,1.64,0.32,0.5,1.34,2.02,3.18,3.06,1.57,2.86
User 158,2.05,1.12,0.7,0.37,0.5,1.04,3.17,2.77,1.98,3.44
User 159,1.18,2.04,1.89,0.5,1.66,2.18,3.19,2.83,1.41,2.34
User 160,1.06,1.76,1.02,0.27,0.24,1.16,3.18,2.63,1.28,3.36
User 161,0.58,1.12,1.57,0.45,0.78,1.5,3.18,2.77,1.44,2.9
User 162,1.15,1.08,0.51,0.37,0.34,0.98,3.17,2.58,2.21,3.36
User 163,0.9,1.84,0.51,0.66,1.04,1.78,3.18,2.79,1.86,2.54
User 164,0.7,1.28,0.93,0.47,0.54,1.58,3.18,2.82,1.76,2.98
User 165,0.8,1.16,1.09,0.23,0.82,1.5,3.18,2.78,0.93,2.88
User 166,0.9,1.64,0.21,0.5,0.3,1.68,3.18,2.91,1.44,2.74
User 167,0.7,0.8,2.56,0.5,1.1,1.5,3.19,2.86,1.47,2.38
User 168,0.61,1.04,0.83,0.46,0.82,1.86,3.18,2.9,2.18,2.54
User 169,0.67,2.04,2.82,0.51,0.9,1.66,3.2,2.85,1.5,2.34
User 170,0.7,1.28,1.49,0.46,0.58,1.46,3.18,2.97,1.73,2.86
User 171,0.93,1.16,0.26,0.51,1.42,2.4,3.18,2.97,2.18,2.8
User 172,1.9,0.4,0.45,0.48,0.7,1.06,3.18,2.98,1.22,2.48
User 173,0.74,1.96,0.14,0.65,0.4,0.98,3.18,2.73,1.22,2.78
User 174,1.06,1.28,0.22,0.49,0.74,1.24,3.17,2.94,1.6,3.28
User 175,0.96,1.08,0.8,0.66,0.72,2.02,3.18,2.86,1.57,3.26
User 176,0.42,1.88,0.26,1.05,1.06,2.1,3.18,2.86,1.15,2.62
User 177,1.02,1.16,0.78,0.41,1.1,2,3.18,3.01,1.38,3.26
User 178,0.99,1.08,0.93,0.41,0.62,1.46,3.18,2.97,1.73,2.94
User 179,0.7,0.96,0.22,0.47,0.46,2.12,3.18,2.89,1.7,2.98
User 180,0.77,1.24,0.21,0.54,0.88,1.42,3.18,2.86,1.76,2.88
User 181,0.58,1.44,0.19,0.53,0.24,0.94,3.18,3.29,2.18,2.9
User 182,0.8,1.2,1.25,0.43,1.78,2.62,3.18,2.75,1.6,2.7
User 183,1.28,1.48,1.42,0.61,0.96,1.98,3.18,2.81,1.6,2.48
User 184,1.38,1.12,1.8,0.37,0.82,1.16,3.18,2.69,1.22,3.3
User 185,1.06,1.04,2.5,0.56,1.78,2.8,3.2,2.72,2.18,2.54
User 186,0.96,1.2,0.36,0.43,0.22,2.8,3.18,2.85,1.98,2.64
User 187,0.58,1.12,0.27,0.47,1.42,2.14,3.18,2.78,1.44,2.72
User 188,1.41,1.32,0.19,0.56,0.32,1.56,3.18,3.07,1.41,3.06
User 189,1.02,1.04,1.33,0.61,0.86,2.4,3.19,2.89,1.63,2.46
User 190,0.93,0.6,0.18,0.33,0.32,1.1,3.17,2.94,1.28,3.04
User 191,0.51,1.08,2.48,0.57,0.66,1.8,3.19,2.58,1.38,2.32
User 192,0.83,1.32,1.89,0.65,1.28,1.7,3.19,2.75,1.76,2.66
User 193,1.7,0.64,0.43,0.41,0.9,1.7,3.16,2.85,1.7,3.52
User 194,0.9,1.56,0.22,0.35,1.26,1.96,3.16,2.74,2.05,3.44
User 195,0.34,1.16,0.18,0.4,1.18,1.86,3.18,2.82,1.76,2.86
User 196,0.8,1,0.22,0.34,0.94,1.4,3.17,2.94,1.41,2.96
User 197,0.7,1.04,1.41,0.31,0.62,1.5,3.18,2.65,1.31,3.04
User 198,1.28,0.68,2.06,0.38,1.58,2.48,3.19,2.74,1.57,2.5
User 199,0.64,1.48,0.99,0.31,0.64,1.3,3.18,3.01,1.57,3.26
User 200,1.25,2.16,0.22,1.79,0.9,1.76,3.18,2.77,1.7,2.4
User 201,1.06,1.28,2.5,0.62,1.66,3.02,3.19,2.89,1.79,2.78
User 202,1.12,1.56,0.38,0.55,0.66,2.1,3.18,2.85,1.73,2.96
User 203,0.7,0.92,2.77,0.54,0.98,1.58,3.2,2.74,1.47,2.34
User 204,1.06,1.12,0.22,0.39,0.7,1.46,3.18,2.91,1.82,2.82
User 205,0.83,0.88,0.82,0.42,0.62,1.74,3.18,2.93,1.02,2.7
User 206,0.99,2.08,0.27,0.33,0.14,0.82,3.18,2.73,1.38,2.78
User 207,0.99,1.28,0.19,0.27,0.54,2.22,3.18,2.71,1.73,2.62
User 208,0.8,0.84,0.24,0.5,0.56,1.44,3.18,2.94,1.89,2.94
User 209,0.77,0.88,1.71,0.48,0.7,1.08,3.18,2.54,1.15,2.58
User 210,1.06,1.12,0.98,0.21,1.1,1.38,3.17,2.88,1.02,3.26
User 211,0.54,1.44,1.31,0.32,1.18,1.48,3.18,2.79,1.31,3.3
User 212,0.93,1.36,1.94,0.34,0.9,2.36,3.19,2.78,1.5,2.82
User 213,0.83,2.04,0.42,0.51,0.7,2.12,3.18,2.66,1.6,2.98
User 214,0.51,1.32,0.24,0.38,0.42,1.3,3.18,2.79,1.34,2.58
User 215,0.61,1.56,0.16,0.37,0.38,0.94,3.17,2.94,1.22,3.46
User 216,0.7,1.28,1.66,0.49,1.68,2.68,3.19,2.77,1.7,2.54
User 217,0.61,1.52,0.18,0.26,0.8,1.4,3.17,2.77,1.22,3.04
User 218,0.9,1.2,0.5,0.45,0.64,1.54,3.18,2.71,1.38,2.3
User 219,1.02,0.72,1.2,0.47,1.9,2.98,3.18,2.79,1.31,2.38
User 220,0.9,0.88,2.05,0.45,1.36,2,3.18,2.87,1.38,2.86
User 221,0.77,1.08,0.29,0.58,1.38,2.54,3.18,2.87,1.6,2.88
User 222,1.25,1.12,1.47,0.41,0.26,1.22,3.18,2.73,1.12,3.22
User 223,1.15,2.32,2.4,0.5,1.12,1.54,3.19,2.8,1.63,2.4
User 224,0.93,1.32,0.14,0.47,0.54,1.56,3.17,2.86,1.6,3.04
User 225,0.61,1.2,2.05,0.61,1.3,3.06,3.19,2.79,1.57,2.42
User 226,1.02,1.96,0.27,0.35,1.18,1.46,3.17,2.73,1.47,3.34
User 227,0.9,2.24,0.27,1.78,1.3,1.42,3.18,2.75,1.18,2.46
User 228,0.67,1.2,1.39,0.41,1.26,1.7,3.18,2.82,1.25,2.82
User 229,0.54,2.96,0.58,0.57,0.78,1.7,3.18,2.91,1.28,3.3
User 230,0.61,1.04,1.98,0.55,1.34,1.96,3.19,2.94,1.15,2.38
User 231,0.61,1,0.22,0.58,1.1,1.42,3.18,3.14,2.11,2.8
User 232,0.58,1.44,2.1,0.64,1.92,2.18,3.2,3.04,1.12,2.42
User 233,0.83,1.96,0.51,0.31,0.74,1.16,3.18,2.7,1.02,3.02
User 234,0.48,1.96,0.24,0.35,0.46,1.62,3.18,2.7,1.28,2.74
User 235,0.61,0.84,0.15,0.38,2.38,2.12,3.18,2.97,1.34,2.14
User 236,0.34,1.16,0.18,0.4,1.18,1.86,3.18,2.82,1.76,2.86
User 237,1.41,1.08,1.34,0.65,1.6,2.14,3.18,2.81,1.15,3.14
User 238,0.58,1.84,0.22,0.73,0.98,2.14,3.18,2.99,1.44,2.96
User 239,0.96,0.88,1.02,0.64,1.18,2.24,3.18,2.78,1.12,2.7
User 240,2.08,0.48,0.18,0.15,0.1,0.14,3.18,2.95,1.15,3.6
User 241,0.7,0.92,2.77,0.54,0.98,1.58,3.2,2.74,1.47,2.34
User 242,1.25,2.48,1.76,0.54,1.76,2.38,3.19,2.81,1.6,2.32
User 243,0.74,1.6,1.2,0.56,0.32,1.02,3.19,2.72,2.69,2.58
User 244,0.74,1.84,1.02,0.41,0.46,1.14,3.18,2.75,2.5,3.12
User 245,0.83,1.56,0.22,0.23,0.32,0.88,3.17,2.89,2.4,3.02
User 246,0.64,1.2,0.98,0.42,0.82,1.6,3.18,2.88,1.63,2.88
User 247,1.33,0.52,0.22,0.46,0.3,0.86,3.18,2.93,1.66,2.8
User 248,1.5,1.96,2.08,2.73,1.12,2.94,3.2,2.63,1.63,2.46
User 249,0.96,0.64,0.67,0.33,0.98,1.34,3.17,2.94,1.15,3.14
User 250,0.34,1.16,0.18,0.4,1.18,1.86,3.18,2.82,1.76,2.86
User 251,0.51,1,1.57,0.56,1.58,1.82,3.18,2.81,1.22,2.66
User 252,0.67,1.16,0.26,0.39,0.78,1.58,3.18,2.94,1.6,2.94
User 253,0.51,1.28,2,0.4,0.48,2.08,3.19,2.56,1.15,2.4
User 254,0.58,1.2,2.05,0.71,0.5,2.28,3.19,2.66,1.66,2.4
User 255,0.61,2.4,0.64,0.42,0.16,1.62,3.18,2.59,1.89,2.78
User 256,1.09,1.76,0.67,0.54,1.36,1.92,3.17,2.67,2.43,3.28
User 257,0.9,0.88,0.29,0.39,0.86,1.54,3.17,2.98,1.41,3.36
User 258,0.93,1.96,0.22,1.62,1.38,1.98,3.18,2.74,1.57,2.4
User 259,2.22,0.24,1.09,0.48,0.24,1.12,3.18,3.06,1.41,2.72
User 260,0.61,1.32,1.62,0.72,1.68,1.78,3.18,2.54,1.31,2.42
User 261,0.77,0.72,1.07,0.53,0.88,2.14,3.19,2.85,1.79,2.62
User 262,0.96,1.44,1.09,0.63,1.18,3.12,3.19,3.1,2.05,2.72
User 263,1.58,0.88,0.29,0.53,0.82,1.86,3.18,3.02,1.73,2.78
User 264,0.61,1.72,1.74,0.51,1.42,2.06,3.19,3.13,2.46,2.78
User 265,1.06,1.2,0.48,0.41,0.8,1.66,3.17,2.94,1.28,3.5
User 266,1.22,1.36,1.33,0.59,1.18,2.24,3.19,2.77,1.66,2.46
User 267,1.12,1.16,2.3,0.5,1.44,2.36,3.2,2.82,1.86,2.38
User 268,1.09,1.96,1.17,0.59,0.8,1.94,3.19,2.82,1.95,2.72
User 269,0.45,1.4,0.22,0.45,0.64,1.7,3.18,2.64,2.18,2.78
User 270,0.77,1.52,1.28,0.48,1.5,2.5,3.18,2.86,1.47,2.46
User 271,0.8,1.64,0.29,0.42,1.38,2.2,3.17,2.93,1.25,3.26
User 272,0.58,1.28,1.15,0.54,0.46,1.46,3.18,3.04,1.41,2.78
User 273,0.7,1.12,1.92,0.64,1.82,1.9,3.19,2.66,0.96,2.46
User 274,0.77,1.6,2.86,0.56,1.34,2.46,3.2,2.97,1.34,2.56
User 275,1.15,1.76,1.33,2.91,0.74,1.9,3.18,2.78,1.38,2.72
User 276,0.93,1,0.22,0.38,0.8,1.52,3.16,2.74,1.38,3.52
User 277,0.83,1.68,1.55,0.5,0.8,1.86,3.18,2.82,1.5,2.42
User 278,0.83,1.24,0.38,0.49,1.54,2.38,3.18,3.04,2.18,2.82
User 279,1.12,1.56,0.14,0.48,0.4,0.82,3.18,2.63,0.9,2.78
User 280,0.99,0.36,0.22,0.46,1.5,1.94,3.18,2.83,1.47,2.66
User 281,1.15,1.28,1.68,0.51,0.94,1.8,3.18,2.74,1.06,3.1
User 282,0.51,1.2,1.07,0.49,1.14,2.04,3.18,3.22,1.47,2.82
User 283,0.58,1.84,2.18,0.59,1.02,1.58,3.19,2.8,1.6,2.66
User 284,0.74,1.28,1.36,0.66,1.26,2.48,3.18,2.83,1.28,2.64
User 285,0.9,1.52,0.32,0.59,0.62,2.08,3.17,2.78,1.66,2.96
User 286,0.51,1.44,0.26,0.48,0.34,0.82,3.18,2.86,1.73,2.88
User 287,0.93,1.76,0.58,2.25,2,2.44,3.18,2.67,1.22,2.42
User 288,0.77,1.96,0.93,0.61,0.66,1.6,3.18,2.67,3.14,2.8
User 289,1.18,1.2,0.99,0.46,1.3,1.86,3.17,2.82,0.86,3.62
User 290,0.96,1.32,0.56,0.42,0.98,2.06,3.17,2.82,1.18,3.3
User 291,1.09,1.12,2.35,0.54,1.3,2.64,3.19,2.87,1.47,2.54
User 292,1.09,1.16,0.35,0.41,0.66,1.34,3.17,2.72,1.41,3.14
User 293,0.67,1.52,0.35,0.3,1.06,1.38,3.18,2.89,1.28,2.96
User 294,0.77,0.76,0.8,0.49,0.46,1.34,3.18,3.26,1.82,2.66
User 295,0.58,1.2,0.18,0.38,0.54,0.76,3.17,2.69,1.63,2.94
User 296,0.67,0.84,0.82,1.11,0.56,1.4,3.18,2.73,1.47,2.56
User 297,0.7,1.28,0.26,0.51,1.06,1.6,3.18,2.65,1.41,2.8
User 298,0.77,1.16,1.62,0.57,0.56,1.4,3.18,2.78,1.12,2.54
User 299,1.79,0.88,1.42,0.39,0.72,1.78,3.19,2.85,1.63,2.42
User 300,0.8,1.92,0.35,0.48,0.74,2.18,3.19,2.83,1.89,2.58
User 301,0.61,1.12,0.22,0.53,0.58,1.2,3.17,2.82,1.63,3.12
User 302,0.42,1.16,2.22,0.64,0.88,1.26,3.19,2.82,1.25,2.5
User 303,0.74,0.96,2.27,0.61,0.5,1.26,3.19,2.82,1.6,2.56
User 304,0.61,1.4,0.27,0.41,0.88,1.34,3.18,2.86,1.73,2.88
User 305,1.02,1.04,1.97,0.5,0.64,2.74,3.18,2.77,1.86,2.64
User 306,0.83,1.64,0.35,0.56,0.78,1.48,3.18,2.63,1.41,2.66
User 307,1.02,1.28,0.77,0.47,1.06,2.48,3.18,2.86,1.73,2.94
User 308,0.7,1.48,2.43,0.58,1.82,2.38,3.2,3.02,2.72,2.48
User 309,1.55,0,0.24,0.74,0.22,1.38,3.18,3.22,1.28,2.58
User 310,0.51,1.2,2.19,0.64,0.88,2.24,3.19,2.58,1.41,2.32
User 311,0.51,1.76,0.22,0.49,0.66,1.46,3.18,2.77,2.4,2.74
User 312,0.54,1.52,0.24,0.37,0.74,1.5,3.18,2.89,1.76,3.04
User 313,0.38,1.16,1.65,0.45,1.1,1.3,3.18,2.83,1.22,2.62
User 314,0.77,1.48,1.19,0.49,1.58,2.5,3.18,2.85,1.6,2.5
User 315,0.58,1.8,0.7,0.53,1.52,2.22,3.18,2.78,1.98,2.98
User 316,1.09,0.76,0.93,0.47,0.58,1.94,3.18,2.8,2.02,2.64
