who_region,yr,pct_vaccinated,vaccine
Western Pacific,2017,93,hepatitis_b
(WHO) Global,2017,84,hepatitis_b
Africa,2016,72,hepatitis_b
Americas,2016,90,hepatitis_b
South-East Asia,2016,88,hepatitis_b
Europe,2016,81,hepatitis_b
Eastern Mediterranean,2016,81,hepatitis_b
Western Pacific,2016,93,hepatitis_b
(WHO) Global,2016,84,hepatitis_b
Africa,2015,72,hepatitis_b
Americas,2015,89,hepatitis_b
South-East Asia,2015,87,hepatitis_b
Europe,2015,82,hepatitis_b
Eastern Mediterranean,2015,79,hepatitis_b
Western Pacific,2015,90,hepatitis_b
(WHO) Global,2015,83,hepatitis_b
Africa,2014,71,hepatitis_b
Americas,2014,88,hepatitis_b
South-East Asia,2014,82,hepatitis_b
Europe,2014,81,hepatitis_b
Eastern Mediterranean,2014,79,hepatitis_b
Western Pacific,2014,91,hepatitis_b
(WHO) Global,2014,81,hepatitis_b
Africa,2013,70,hepatitis_b
Americas,2013,89,hepatitis_b
South-East Asia,2013,76,hepatitis_b
Europe,2013,82,hepatitis_b
Eastern Mediterranean,2013,79,hepatitis_b
Western Pacific,2013,90,hepatitis_b
(WHO) Global,2013,79,hepatitis_b
Africa,2012,70,hepatitis_b
Americas,2012,91,hepatitis_b
South-East Asia,2012,77,hepatitis_b
Europe,2012,81,hepatitis_b
Eastern Mediterranean,2012,76,hepatitis_b
Western Pacific,2012,93,hepatitis_b
(WHO) Global,2012,80,hepatitis_b
Africa,2011,71,hepatitis_b
Americas,2011,91,hepatitis_b
South-East Asia,2011,56,hepatitis_b
Europe,2011,79,hepatitis_b
Eastern Mediterranean,2011,78,hepatitis_b
Western Pacific,2011,92,hepatitis_b
(WHO) Global,2011,75,hepatitis_b
Africa,2010,71,hepatitis_b
Americas,2010,90,hepatitis_b
South-East Asia,2010,54,hepatitis_b
Europe,2010,78,hepatitis_b
Eastern Mediterranean,2010,74,hepatitis_b
Western Pacific,2010,91,hepatitis_b
(WHO) Global,2010,73,hepatitis_b
Africa,2009,72,hepatitis_b
Americas,2009,91,hepatitis_b
South-East Asia,2009,53,hepatitis_b
Europe,2009,77,hepatitis_b
Eastern Mediterranean,2009,73,hepatitis_b
Western Pacific,2009,92,hepatitis_b
(WHO) Global,2009,73,hepatitis_b
Africa,2008,64,hepatitis_b
Americas,2008,89,hepatitis_b
South-East Asia,2008,47,hepatitis_b
Europe,2008,77,hepatitis_b
Eastern Mediterranean,2008,74,hepatitis_b
Western Pacific,2008,89,hepatitis_b
(WHO) Global,2008,69,hepatitis_b
Africa,2007,64,hepatitis_b
Americas,2007,89,hepatitis_b
South-East Asia,2007,30,hepatitis_b
Europe,2007,78,hepatitis_b
Eastern Mediterranean,2007,73,hepatitis_b
Western Pacific,2007,85,hepatitis_b
(WHO) Global,2007,63,hepatitis_b
Africa,2006,46,hepatitis_b
Americas,2006,90,hepatitis_b
South-East Asia,2006,27,hepatitis_b
Europe,2006,75,hepatitis_b
Eastern Mediterranean,2006,69,hepatitis_b
Western Pacific,2006,85,hepatitis_b
(WHO) Global,2006,58,hepatitis_b
Africa,2005,42,hepatitis_b
Americas,2005,89,hepatitis_b
South-East Asia,2005,24,hepatitis_b
Europe,2005,75,hepatitis_b
Eastern Mediterranean,2005,67,hepatitis_b
Western Pacific,2005,76,hepatitis_b
(WHO) Global,2005,54,hepatitis_b
Africa,2004,33,hepatitis_b
Americas,2004,85,hepatitis_b
South-East Asia,2004,19,hepatitis_b
Europe,2004,73,hepatitis_b
Eastern Mediterranean,2004,61,hepatitis_b
Western Pacific,2004,72,hepatitis_b
(WHO) Global,2004,49,hepatitis_b
Africa,2003,28,hepatitis_b
Americas,2003,83,hepatitis_b
South-East Asia,2003,11,hepatitis_b
Europe,2003,68,hepatitis_b
Eastern Mediterranean,2003,61,hepatitis_b
Western Pacific,2003,69,hepatitis_b
(WHO) Global,2003,44,hepatitis_b
Africa,2002,25,hepatitis_b
Americas,2002,75,hepatitis_b
South-East Asia,2002,10,hepatitis_b
Europe,2002,63,hepatitis_b
Eastern Mediterranean,2002,43,hepatitis_b
Western Pacific,2002,59,hepatitis_b
(WHO) Global,2002,38,hepatitis_b
Africa,2001,6,hepatitis_b
Americas,2001,72,hepatitis_b
South-East Asia,2001,10,hepatitis_b
Europe,2001,49,hepatitis_b
Eastern Mediterranean,2001,42,hepatitis_b
Western Pacific,2001,56,hepatitis_b
(WHO) Global,2001,32,hepatitis_b
Africa,2000,5,hepatitis_b
Americas,2000,70,hepatitis_b
South-East Asia,2000,10,hepatitis_b
Europe,2000,42,hepatitis_b
Eastern Mediterranean,2000,40,hepatitis_b
Western Pacific,2000,48,hepatitis_b
(WHO) Global,2000,29,hepatitis_b
Africa,1999,4,hepatitis_b
Americas,1999,48,hepatitis_b
South-East Asia,1999,11,hepatitis_b
Europe,1999,30,hepatitis_b
Eastern Mediterranean,1999,37,hepatitis_b
Western Pacific,1999,9,hepatitis_b
(WHO) Global,1999,18,hepatitis_b
Africa,1998,4,hepatitis_b
Americas,1998,31,hepatitis_b
South-East Asia,1998,11,hepatitis_b
Europe,1998,28,hepatitis_b
Eastern Mediterranean,1998,32,hepatitis_b
Western Pacific,1998,8,hepatitis_b
(WHO) Global,1998,16,hepatitis_b
Africa,1997,4,hepatitis_b
Americas,1997,28,hepatitis_b
South-East Asia,1997,10,hepatitis_b
Europe,1997,23,hepatitis_b
Eastern Mediterranean,1997,35,hepatitis_b
Western Pacific,1997,8,hepatitis_b
(WHO) Global,1997,15,hepatitis_b
Africa,1996,1,hepatitis_b
Americas,1996,30,hepatitis_b
South-East Asia,1996,10,hepatitis_b
Europe,1996,20,hepatitis_b
Eastern Mediterranean,1996,31,hepatitis_b
Western Pacific,1996,9,hepatitis_b
(WHO) Global,1996,14,hepatitis_b
Africa,1995,NA,hepatitis_b
Americas,1995,24,hepatitis_b
South-East Asia,1995,8,hepatitis_b
Europe,1995,12,hepatitis_b
Eastern Mediterranean,1995,29,hepatitis_b
Western Pacific,1995,9,hepatitis_b
(WHO) Global,1995,11,hepatitis_b
Africa,1994,NA,hepatitis_b
Americas,1994,12,hepatitis_b
South-East Asia,1994,7,hepatitis_b
Europe,1994,9,hepatitis_b
Eastern Mediterranean,1994,25,hepatitis_b
Western Pacific,1994,3,hepatitis_b
(WHO) Global,1994,8,hepatitis_b
Africa,1993,NA,hepatitis_b
Americas,1993,5,hepatitis_b
South-East Asia,1993,7,hepatitis_b
Europe,1993,7,hepatitis_b
Eastern Mediterranean,1993,7,hepatitis_b
Western Pacific,1993,2,hepatitis_b
(WHO) Global,1993,4,hepatitis_b
Africa,1992,NA,hepatitis_b
Americas,1992,NA,hepatitis_b
South-East Asia,1992,4,hepatitis_b
Europe,1992,6,hepatitis_b
Eastern Mediterranean,1992,6,hepatitis_b
Western Pacific,1992,2,hepatitis_b
(WHO) Global,1992,3,hepatitis_b
Africa,1991,NA,hepatitis_b
Americas,1991,NA,hepatitis_b
South-East Asia,1991,NA,hepatitis_b
Europe,1991,4,hepatitis_b
Eastern Mediterranean,1991,4,hepatitis_b
Western Pacific,1991,2,hepatitis_b
(WHO) Global,1991,1,hepatitis_b
Africa,1990,NA,hepatitis_b
Americas,1990,NA,hepatitis_b
South-East Asia,1990,NA,hepatitis_b
Europe,1990,NA,hepatitis_b
Eastern Mediterranean,1990,3,hepatitis_b
Western Pacific,1990,2,hepatitis_b
(WHO) Global,1990,1,hepatitis_b
Africa,1989,NA,hepatitis_b
Americas,1989,NA,hepatitis_b
South-East Asia,1989,NA,hepatitis_b
Europe,1989,NA,hepatitis_b
Eastern Mediterranean,1989,NA,hepatitis_b
Western Pacific,1989,1,hepatitis_b
(WHO) Global,1989,NA,hepatitis_b
