age,bmi,female,footwear,group,injury,mf_d,mf_di,mf_ti,max,sprint,mf_s,time_hrs
26,30.05259323,1,2,1,1,42195,2,15743,32,1,2.6802388363082006,4.373055555555555
38,21.69139481,0,2,2,2,42195,2,9627,105,1,4.382985353692739,2.6741666666666664
34,25.04382706,0,2,3,1,42195,4,10780,50,0,3.9141929499072354,2.9944444444444445
31,20.55720139,1,2,1,2,42195,2,12493,35,0,3.3774913951813015,3.470277777777778
50,22.60793114,0,1,3,1,42195,4,12052,68,1,3.5010786591437104,3.347777777777778
45,22.62626266,0,2,3,1,42195,2,10593,65,1,3.983290852449731,2.9425000000000003
36,22.33406639,0,2,3,1,42195,4,8777,86,1,4.807451293152558,2.4380555555555556
27,23.20066833,0,1,2,1,42195,3,12960,60,0,3.255787037037037,3.6
39,23.49176788,1,2,3,2,42195,2,17660,55,0,2.3892978482446208,4.905555555555555
34,22.26345062,0,2,1,1,42195,3,10425,60,0,4.047482014388489,2.8958333333333335
47,25.66305733,0,1,3,1,42195,3,11898,38,1,3.5463943519919314,3.305
44,19.62345314,1,2,3,1,42195,2,9838,22,1,4.28898150030494,2.7327777777777778
35,22.91344261,0,1,1,1,42195,2,10137,65,1,4.162474104764724,2.815833333333333
36,22.97629166,0,2,3,1,42195,3,15508,38,0,2.720853752901728,4.307777777777777
53,23.00556564,0,1,3,1,42195,4,12255,50,1,3.4430844553243576,3.404166666666667
37,20.34231186,0,1,3,1,42195,4,11352,50,0,3.7169661733615222,3.1533333333333333
32,24.85795403,1,2,1,1,42195,4,14400,40,0,2.9302083333333333,4
37,23.46041107,1,2,2,3,42195,4,17160,40,1,2.4589160839160837,4.766666666666667
38,21.18406296,0,2,2,2,42195,2,12005,52,1,3.5147855060391504,3.3347222222222226
24,21.06158638,1,2,1,3,42195,2,13530,60,1,3.1186252771618626,3.7583333333333333
34,24.30183029,0,2,1,2,42195,3,12507,40,0,3.3737107219956823,3.4741666666666666
35,24.85795403,1,2,1,3,42195,2,15527,40,1,2.7175243124879245,4.313055555555556
25,23.08238602,1,2,2,1,42195,2,12048,60,0,3.502241035856574,3.3466666666666667
30,21.69922447,1,2,2,2,42195,3,10334,85,1,4.083123669440681,2.8705555555555553
37,28.49721718,0,2,1,1,42195,4,16474,50,0,2.5613087289061554,4.5761111111111115
26,22.19460106,1,2,1,2,42195,3,20355,35,1,2.072955047899779,5.654166666666667
33,21.23309135,0,3,2,1,42195,2,11440,65,1,3.688374125874126,3.1777777777777776
37,21.69139481,0,2,3,1,42195,3,9290,108,1,4.541980624327233,2.5805555555555557
26,19.44146538,1,2,3,1,42195,2,16226,30,0,2.6004560581782323,4.5072222222222225
37,23.00556564,1,2,1,2,42195,2,16636,60,1,2.536366915123828,4.6211111111111105
24,24.30183029,1,2,1,1,42195,3,16660,34,1,2.5327130852340938,4.627777777777778
23,20.41903305,1,2,3,1,42195,3,17153,35,0,2.459919547601003,4.764722222222222
44,21.68908119,1,2,1,1,42195,3,15060,55,1,2.801792828685259,4.183333333333334
32,19.92143822,0,2,2,2,42195,3,10080,67,1,4.186011904761905,2.8
41,21.38588142,0,2,3,3,42195,3,15617,48,0,2.701863354037267,4.338055555555556
32,26.20307159,1,2,1,2,42195,3,14313,33.59999847,1,2.9480192831691467,3.9758333333333336
61,23.74768066,0,2,1,1,42195,3,12900,68,1,3.2709302325581397,3.5833333333333335
42,22.50635719,0,1,2,1,42195,2,11248,89,0,3.751333570412518,3.1244444444444444
27,23.67722511,1,2,3,2,42195,2,13143,52,1,3.2104542341931066,3.6508333333333334
22,25.23191071,0,1,1,1,42195,3,12132,50,1,3.4779920870425323,3.3699999999999997
28,19.44146538,1,2,1,2,42195,4,12960,43,1,3.255787037037037,3.6
26,29.68460083,0,2,2,1,42195,2,17137,40,1,2.4622162572212174,4.760277777777778
25,22.14966202,0,2,3,1,42195,4,9152,110,1,4.6104676573426575,2.542222222222222
47,25.23407936,0,2,2,1,42195,3,11620,62,1,3.6312392426850257,3.2277777777777774
50,20.24147606,1,2,1,2,42195,4,12211,69,0,3.4554909507820817,3.391944444444445
34,21.24975014,0,1,2,1,42195,2,11047,75,1,3.8195890286955736,3.068611111111111
29,23.67722511,0,1,2,2,42195,3,11295,55,1,3.735723771580345,3.1375
25,24.20903206,1,1,3,1,42195,2,13620,50,1,3.0980176211453743,3.783333333333333
49,19.57361603,1,2,3,2,42195,2,14304,25,0,2.9498741610738257,3.9733333333333336
32,22.02581596,0,2,1,1,42195,4,11070,51,1,3.8116531165311653,3.075
33,25.87862206,1,2,3,3,42195,4,21300,20,0,1.9809859154929577,5.916666666666667
35,21.38588142,1,2,1,1,42195,4,14340,30,0,2.942468619246862,3.9833333333333334
38,22.65063095,0,2,2,1,42195,2,12485,67,1,3.379655586704045,3.468055555555556
32,21.23309135,0,2,3,2,42195,2,12720,35,0,3.3172169811320753,3.533333333333333
42,23.61009026,0,2,2,2,42195,3,12660,61,0,3.3329383886255926,3.5166666666666666
44,24.48979568,0,2,1,2,42195,3,12531,50,1,3.3672492219296144,3.4808333333333334
33,27.15151405,0,1,3,1,42195,4,19825,48,0,2.1283732660781842,5.506944444444445
47,23.97780609,0,2,2,2,42195,3,11678,80,1,3.613204315807501,3.243888888888889
46,31.7002182,0,2,3,1,42195,4,23100,18,0,1.8266233766233766,6.416666666666667
36,27.54168892,1,2,2,3,42195,4,20520,40,0,2.056286549707602,5.7
25,20.58569527,0,2,2,1,42195,4,10176,75,1,4.146521226415095,2.8266666666666667
24,23.97780609,0,2,2,1,42195,4,9214,107,1,4.579444323855003,2.5594444444444444
40,23.04032135,0,2,1,2,42195,4,14160,40,0,2.979872881355932,3.933333333333333
39,21.34480858,1,2,2,2,42195,2,17640,37,0,2.3920068027210886,4.9
34,24.5955925,1,2,3,1,42195,4,17100,30,0,2.4675438596491226,4.75
34,23.97780609,1,2,3,1,42195,3,15958,45,0,2.644128336884321,4.432777777777777
33,21.74523163,0,1,3,1,42195,4,11673,52,0,3.614751991775893,3.2425
41,19.29499054,1,2,2,1,42195,4,12780,65,1,3.301643192488263,3.55
35,21.89049911,1,2,3,1,42195,4,14169,57,1,2.977980097395723,3.9358333333333335
59,24.23761749,0,2,1,1,42195,4,22565,38,0,1.8699313095501884,6.268055555555555
46,21.5684433,1,2,2,1,42195,4,13100,79,1,3.2209923664122138,3.638888888888889
58,21.74523163,0,1,2,1,42195,4,12247,100,1,3.445333551073732,3.4019444444444447
50,23.14814949,0,2,1,2,42195,3,14433,35,0,2.923508626065267,4.009166666666667
32,22.53944397,1,2,3,1,42195,4,12774,43,1,3.3031939877876937,3.5483333333333333
45,19.79558945,1,2,3,1,42195,3,12844,60,0,3.2851915291186544,3.5677777777777777
30,21.91380501,0,3,3,3,42195,2,18720,40,0,2.25400641025641,5.2
27,23.08238602,1,2,2,3,42195,4,18514,36.5,0,2.27908609700767,5.142777777777778
30,20.522686,1,2,1,2,42195,2,13180,35,1,3.20144157814871,3.661111111111111
40,25.04382706,1,2,1,1,42195,2,18000,55,0,2.3441666666666667,5
35,22.44668961,0,2,1,2,42195,2,11340,20,1,3.7208994708994707,3.15
30,20.91937065,0,1,2,1,42195,3,9081,87,1,4.646514701024116,2.5225
31,20.86985588,1,2,3,2,42195,4,11219,60,1,3.7610303948658528,3.116388888888889
56,25.04382706,0,2,3,1,42195,3,17110,48,1,2.4661016949152543,4.752777777777778
26,24.17777824,0,2,1,1,42195,2,14332,42,0,2.9441110801004746,3.9811111111111113
47,25.96857071,0,2,1,2,42195,4,12713,60,1,3.3190434987807755,3.531388888888889
45,24.81470108,0,2,2,2,42195,4,12212,40,0,3.4552079921388796,3.3922222222222222
52,26.71614075,0,2,3,2,42195,2,16055,40,0,2.6281532232949236,4.459722222222222
45,24.17159081,0,1,1,2,42195,2,15360,52,0,2.7470703125,4.266666666666667
35,24.56541252,0,1,2,2,42195,3,10640,60,1,3.9656954887218046,2.9555555555555557
31,22.0385685,1,1,1,3,42195,4,12775,51,1,3.30293542074364,3.548611111111111
33,29.68460083,0,2,2,2,42195,3,14872,22,0,2.83721086605702,4.131111111111111
31,25.65335846,1,1,1,2,42195,3,15613,55,0,2.7025555626721323,4.336944444444444
50,25.04382706,0,2,1,2,42195,3,11961,47,1,3.527715073990469,3.3225
39,22.51969719,0,2,1,2,42195,4,15420,40,0,2.7363813229571985,4.283333333333333
39,21.66193008,1,2,3,1,42195,3,14660,50,0,2.8782401091405183,4.072222222222222
43,24.55106735,0,2,2,1,42195,2,12121,70,1,3.4811484200973517,3.3669444444444445
37,19.24729347,1,2,2,1,42195,3,14820,100,1,2.847165991902834,4.116666666666666
38,28.81798363,1,2,3,1,42195,2,16449,60,1,2.565201532008025,4.569166666666666
35,20.58569527,0,2,3,1,42195,4,12480,56,1,3.3810096153846154,3.466666666666667
34,20.73756218,1,2,3,1,42195,2,13693,50,0,3.0815014971153145,3.803611111111111
28,21.74523163,0,2,3,2,42195,3,16513,26,0,2.555259492521044,4.586944444444444
28,20.86985588,1,2,3,1,42195,4,15627,45,0,2.7001343827990016,4.340833333333333
48,25.67717934,0,2,3,1,42195,2,16140,20,0,2.6143122676579926,4.483333333333333
23,20.48237419,0,2,1,1,42195,2,10781,55,0,3.9138298859103977,2.9947222222222223
51,25.74573708,1,2,1,1,42195,3,16578,40,0,2.5452406804198335,4.605
33,25.92195129,0,1,3,2,42195,3,12989,38,1,3.2485179767495573,3.608055555555555
28,22.89282227,1,2,1,1,42195,3,12664,55,1,3.3318856601389766,3.517777777777778
39,23.00785828,0,2,1,1,42195,2,11065,70,1,3.8133755083596927,3.073611111111111
38,25.97402573,0,2,1,1,42195,4,13201,55,1,3.1963487614574655,3.666944444444445
42,24.6258564,0,2,1,1,42195,2,15009,57,0,2.8113132120727564,4.1691666666666665
41,20.03506279,1,2,3,1,42195,3,13458,57,0,3.135309852875613,3.7383333333333337
27,25.23191071,0,1,3,1,42195,2,12267,80,0,3.4397163120567376,3.4074999999999998
42,21.87164688,1,2,3,1,42195,2,12399,65,1,3.4030970239535447,3.444166666666667
29,24.1301918,0,2,2,1,42195,4,12179,52,0,3.4645701617538385,3.3830555555555555
44,21.69139481,1,2,2,1,42195,3,13609,40,1,3.1005217135719008,3.7802777777777776
31,23.00573349,1,2,2,1,42195,2,12817,56,1,3.2921120386986034,3.560277777777778
22,21.5213356,0,2,1,1,42195,3,11841,50,0,3.563465923486192,3.2891666666666666
28,23.74768066,1,2,2,3,42195,4,22623,40,0,1.865137249701631,6.284166666666667
55,26.7323513,0,2,3,2,42195,3,13924,42,0,3.030379201378914,3.8677777777777775
28,20.24406624,1,2,1,1,42195,3,12851,60,1,3.2834020698778303,3.5697222222222225
29,21.87164688,1,2,3,2,42195,4,17574,40,0,2.400990099009901,4.881666666666666
28,21.62211609,1,2,3,2,42195,2,12180,50,1,3.4642857142857144,3.3833333333333333
27,24.81470108,0,1,3,2,42195,3,14442,31,1,2.9216867469879517,4.011666666666667
35,25.05203247,0,2,3,2,42195,4,14399,55,1,2.9304118341551497,3.999722222222222
40,22.176784519999998,0,2,3,1,42195,3,9600,87,1,4.3953125,2.6666666666666665
33,24.38188744,0,2,3,1,42195,3,12900,45,1,3.2709302325581397,3.5833333333333335
32,22.51829529,0,2,1,1,42195,4,10139,100,0,4.16165302298057,2.8163888888888886
39,19.66026878,1,2,2,1,42195,4,14940,58,0,2.82429718875502,4.15
45,23.84960938,0,2,1,1,42195,3,12510,40,0,3.3729016786570742,3.475
27,22.3776226,1,2,3,1,42195,3,13496,60,1,3.1264819205690575,3.748888888888889
41,25.79427338,1,2,2,1,42195,3,14060,55,0,3.0010668563300142,3.905555555555556
30,21.91380501,0,2,1,1,42195,3,12029,54,0,3.5077728822013468,3.3413888888888885
28,23.94907188,0,2,2,2,42195,3,12289,34,1,3.433558466921637,3.413611111111111
46,25.85858536,0,2,3,2,42195,2,16638,37,0,2.5360620266858995,4.621666666666667
43,26.69023323,0,2,3,3,42195,4,20100,35,0,2.0992537313432837,5.583333333333333
39,23.27121544,1,2,1,1,42195,2,19920,40,1,2.118222891566265,5.533333333333333
24,20.86985588,1,2,2,2,42195,4,14400,40,0,2.9302083333333333,4
31,20.15620995,1,1,1,3,42195,3,11205,42,0,3.7657295850066936,3.1125
30,23.37472534,0,2,2,3,42195,4,14136,45,1,2.984932088285229,3.9266666666666667
41,28.44444466,0,2,3,1,42195,4,14100,50,0,2.9925531914893617,3.9166666666666665
42,23.00573349,1,2,3,1,42195,3,14820,48,0,2.847165991902834,4.116666666666666
42,21.23312569,0,2,2,1,42195,3,10850,45,0,3.8889400921658988,3.013888888888889
40,25.11189079,0,2,1,3,42195,4,16080,55,1,2.6240671641791047,4.466666666666667
47,24.70283508,0,2,1,3,42195,3,12720,70,1,3.3172169811320753,3.533333333333333
30,22.01950264,1,2,3,2,42195,3,18585,30,1,2.2703793381759483,5.1625
30,23.74768066,0,1,3,1,42195,4,9278,112,1,4.547855141194223,2.5772222222222223
33,25.11223602,0,3,1,1,42195,2,12555,55,1,3.3608124253285543,3.4875
28,26.7323513,0,2,1,1,42195,4,12536,48,0,3.365906190172304,3.482222222222222
30,24.41077614,0,2,2,2,42195,2,10517,63,1,4.01207568698298,2.921388888888889
41,22.80591202,0,1,3,1,42195,3,10065,55,1,4.192250372578242,2.7958333333333334
28,20.77414703,1,3,1,1,42195,4,11190,91,1,3.7707774798927614,3.1083333333333334
30,19.17613602,1,1,1,3,42195,2,13289,55,1,3.1751824817518246,3.6913888888888886
44,24.44100571,0,2,1,1,42195,4,9518,108,1,4.433179239335995,2.6438888888888887
41,19.47665596,0,1,2,2,42195,2,10579,61,0,3.9885622459589753,2.938611111111111
37,24.48979568,0,2,1,1,42195,3,13027,60,1,3.2390419897136717,3.6186111111111114
28,22.68170738,0,1,2,1,42195,4,9615,88,1,4.388455538221529,2.6708333333333334
51,25.21078491,0,2,3,2,42195,3,14247,50,1,2.961676142345757,3.9575
32,25.24751663,0,2,1,2,42195,3,11593,50,1,3.6396963684982317,3.220277777777778
41,20.73756218,0,2,1,2,42195,3,9807,95,0,4.302539002753136,2.7241666666666666
31,22.60793114,0,2,1,1,42195,4,11426,60,1,3.6928934010152283,3.173888888888889
41,27.45825768,0,2,1,2,42195,2,13400,22,1,3.148880597014925,3.7222222222222223
40,20.62209892,1,2,2,1,42195,2,12549,105,1,3.3624193162801816,3.4858333333333333
31,47.18464661,1,2,2,1,42195,3,22680,55,0,1.8604497354497354,6.3
28,20.20103264,0,2,2,1,42195,4,9483,92,1,4.4495412844036695,2.6341666666666668
37,24.04452515,0,2,3,1,42195,2,10480,60,0,4.026240458015267,2.911111111111111
35,23.66053009,0,2,3,2,42195,2,10467,65,0,4.031241043278876,2.9074999999999998
32,19.34570503,0,1,1,1,42195,4,8152,110,1,5.176030421982335,2.2644444444444445
30,23.74768066,0,2,3,2,42195,3,10136,90,1,4.162884767166535,2.8155555555555556
49,19.79558945,1,2,2,1,42195,2,12858,47,1,3.281614559029398,3.5716666666666668
44,22.32523155,1,1,2,1,42195,2,16973,43,1,2.4860071878866434,4.714722222222222
54,23.00556564,0,2,3,1,42195,3,11580,70,0,3.643782383419689,3.216666666666667
30,20.47117615,0,2,2,2,42195,4,8815,90,1,4.7867271695972775,2.448611111111111
52,22.14966202,0,2,2,1,42195,2,11541,56,1,3.6560956589550297,3.205833333333333
28,22.26345062,0,1,2,2,42195,2,12150,65,1,3.4728395061728397,3.375
31,24.52615929,1,2,1,1,42195,4,13879,55,0,3.0402046256934936,3.855277777777778
45,21.0636425,0,2,2,1,42195,2,11807,90,1,3.5737274498179046,3.279722222222222
46,20.65626717,1,2,2,1,42195,2,12600,60,1,3.348809523809524,3.5
29,23.08238602,1,2,2,1,42195,3,13162,60,1,3.2058197842273213,3.656111111111111
39,23.80480194,0,2,1,1,42195,2,11606,50,0,3.6356195071514734,3.223888888888889
44,24.56541252,0,2,1,1,42195,2,9300,65,1,4.537096774193548,2.5833333333333335
46,34.39236832,1,2,3,1,42195,4,12423,62,1,3.396522579087177,3.4508333333333336
33,25.52073479,0,2,1,3,42195,2,20714,15,0,2.037028096939268,5.7538888888888895
30,23.37472534,0,2,1,1,42195,4,11332,59,0,3.7235262972114365,3.147777777777778
37,21.83592224,0,2,1,1,42195,4,14640,45,1,2.882172131147541,4.066666666666666
31,32.5569725,1,2,1,1,42195,2,18600,32,0,2.268548387096774,5.166666666666667
32,26.11717224,0,1,3,2,42195,4,8950,36,0,4.714525139664804,2.486111111111111
34,25.74573708,1,2,3,2,42195,2,18005,45,0,2.3435156900860874,5.001388888888888
38,27.12304497,0,2,3,1,42195,4,17878,42,0,2.3601633292314577,4.96611111111111
20,21.23309135,0,1,3,3,42195,2,12910,35,0,3.2683965917893105,3.586111111111111
23,19.17613602,1,2,2,3,42195,3,15276,45,0,2.762175962293794,4.243333333333333
25,21.04377174,0,2,2,1,42195,2,11703,51,1,3.605485772878749,3.2508333333333335
47,24.09060478,0,1,2,1,42195,3,13170,70,0,3.203872437357631,3.658333333333333
30,27.54821014,0,2,1,1,42195,2,11505,72,1,3.667535853976532,3.1958333333333333
28,21.17267418,1,1,2,2,42195,2,18600,30,0,2.268548387096774,5.166666666666667
43,30.55125809,0,2,1,1,42195,2,15120,40,1,2.7906746031746033,4.2
30,20.41903305,1,2,2,1,42195,2,14760,40,1,2.858739837398374,4.1
33,24.13549423,0,2,2,1,42195,2,12720,35,1,3.3172169811320753,3.533333333333333
37,23.84960938,0,2,3,1,42195,3,10980,60,1,3.842896174863388,3.05
27,21.83592224,0,2,2,1,42195,2,13920,60,1,3.03125,3.8666666666666667
45,27.22624207,0,2,3,2,42195,2,15600,30,0,2.7048076923076922,4.333333333333333
32,18.19851494,1,1,3,2,42195,4,12530,60,1,3.367517956903432,3.4805555555555556
24,21.06158638,1,2,3,1,42195,2,10340,75,1,4.080754352030948,2.8722222222222222
37,25.96857071,0,2,2,1,42195,4,13860,55,1,3.044372294372294,3.85
47,21.96660423,0,1,1,1,42195,3,13162,55,0,3.2058197842273213,3.656111111111111
58,19.20026779,1,2,3,1,42195,3,17421,41,0,2.4220768038574136,4.839166666666667
39,23.67722511,0,2,1,1,42195,3,12813,40,1,3.293139779911028,3.559166666666667
50,24.13549423,0,2,3,3,42195,4,17040,46,0,2.476232394366197,4.733333333333333
44,22.20382309,1,2,2,1,42195,2,16209,50,1,2.603183416620396,4.5024999999999995
30,22.01950264,0,1,1,1,42195,4,14115,40,0,2.989373007438895,3.9208333333333334
42,24.34137344,0,2,3,2,42195,4,13200,40,1,3.1965909090909093,3.6666666666666665
46,21.22448921,0,1,3,2,42195,2,10176,55,1,4.146521226415095,2.8266666666666667
26,23.27775955,0,2,3,1,42195,2,9904,76,1,4.2603998384491115,2.751111111111111
34,21.38588142,0,2,3,2,42195,3,13480,50,0,3.130192878338279,3.7444444444444445
31,21.24975014,0,1,1,3,42195,2,11175,30,0,3.7758389261744965,3.1041666666666665
51,25.96857071,0,2,2,2,42195,2,13617,53,0,3.098700154218991,3.7824999999999998
32,29.38775444,0,2,1,1,42195,4,15077,45,0,2.798633680440406,4.188055555555556
37,36.75645447,0,2,2,1,42195,3,21046,22,0,2.0048940416231114,5.846111111111111
31,23.08344269,1,1,3,1,42195,3,15070,40,0,2.7999336429993362,4.186111111111111
54,21.38588142,0,1,1,1,42195,4,18900,32,0,2.2325396825396826,5.25
50,26.7323513,0,2,3,2,42195,4,13444,65,1,3.1385748289199644,3.7344444444444442
33,21.06158638,1,2,2,1,42195,3,12481,50,1,3.3807387228587453,3.4669444444444446
45,25.81369209,0,2,3,1,42195,4,12749,63,1,3.309671346772296,3.5413888888888887
