Date,average_price,small_hass_volume,large_hass_volume,extra_l_hass_volume,type,yr,region,wk
2015-06-28,1.15,65051.95,534535.21,51109.85,conventional,2015,BaltimoreWashington,26
2015-06-21,1.16,58398.76,527866.5,51952.74,conventional,2015,BaltimoreWashington,25
2015-06-14,1.09,64005.15,593499.63,48344.86,conventional,2015,BaltimoreWashington,24
2015-06-07,1.26,62585.45,462951.05,43720.95,conventional,2015,BaltimoreWashington,23
2015-05-31,1.19,67744.84,617813.87,45832.8,conventional,2015,BaltimoreWashington,22
2015-05-24,1.18,63610.12,560740.03,49808.51,conventional,2015,BaltimoreWashington,21
2015-05-17,1.27,63515.06,455166.65,44840.98,conventional,2015,BaltimoreWashington,20
2015-05-10,1.26,79192.07,507104.15,44390.54,conventional,2015,BaltimoreWashington,19
2015-05-03,1.17,73038.46,536709.99,77537.43,conventional,2015,BaltimoreWashington,18
2015-04-26,1.29,58013.85,431532.87,39942.57,conventional,2015,BaltimoreWashington,17
2015-04-19,1.28,67486.78,427623.27,42125.28,conventional,2015,BaltimoreWashington,16
2015-04-12,1.15,70796.72,523170.13,42270.76,conventional,2015,BaltimoreWashington,15
2015-04-05,1.29,53579.17,401279.47,41867.08,conventional,2015,BaltimoreWashington,14
2015-03-29,1.25,58098.15,398050.87,43759.68,conventional,2015,BaltimoreWashington,13
2015-03-22,1.1,65158.96,524971.24,42381.39,conventional,2015,BaltimoreWashington,12
2015-03-15,1.24,53400.14,395837.01,46596.22,conventional,2015,BaltimoreWashington,11
2015-03-08,1.26,55284.8,367670.93,42267.91,conventional,2015,BaltimoreWashington,10
2015-03-01,1.16,59039.85,498872.67,40241.65,conventional,2015,BaltimoreWashington,9
2015-02-22,1.11,50501.07,445970.56,62611.61,conventional,2015,BaltimoreWashington,8
2015-02-15,1.25,49751.74,361677.37,45900.05,conventional,2015,BaltimoreWashington,7
2015-02-08,1.09,71703.52,554857.41,37437.32,conventional,2015,BaltimoreWashington,6
2015-02-01,1.06,93166.54,666010.38,83652.48,conventional,2015,BaltimoreWashington,5
2015-01-25,1.2,49696.14,386398.73,39488.95,conventional,2015,BaltimoreWashington,4
2015-01-18,1.23,49947.16,393359.6,40576.08,conventional,2015,BaltimoreWashington,3
2015-01-11,1.17,51460.64,420837.82,42526.96,conventional,2015,BaltimoreWashington,2
2015-01-04,1.08,53987.31,552906.04,39995.03,conventional,2015,BaltimoreWashington,1
2015-12-27,0.97,30482.25,2971.94,5894.4,conventional,2015,Boise,52
2015-12-20,1.03,25628.22,2546.09,7393.84,conventional,2015,Boise,51
2015-12-13,0.99,27148.61,2985.73,6458.44,conventional,2015,Boise,50
2015-12-06,0.71,35590.98,12526.5,4086.26,conventional,2015,Boise,49
2015-11-29,1.06,24189.98,2789.67,6031.49,conventional,2015,Boise,48
2015-11-22,1.09,25408.86,3255.97,6662.8,conventional,2015,Boise,47
2015-11-15,1.01,24424.72,12085.72,6502.37,conventional,2015,Boise,46
2015-11-08,1.11,31910.27,4651.88,6285.73,conventional,2015,Boise,45
2015-11-01,1.14,30434.99,4359.52,6428.27,conventional,2015,Boise,44
2015-10-25,1.11,29521.58,10089.82,6551.57,conventional,2015,Boise,43
2015-10-18,1.16,29614.23,9069.38,6586.27,conventional,2015,Boise,42
2015-10-11,0.94,26114.19,33415.88,7604.48,conventional,2015,Boise,41
2015-10-04,1.12,35154.43,10821.85,7551.63,conventional,2015,Boise,40
2015-09-27,0.99,47007.35,5754.04,3663.3,conventional,2015,Boise,39
2015-09-20,1.03,34826.9,21592.13,6640.07,conventional,2015,Boise,38
2015-09-13,1.08,45738.83,4393.9,6593.46,conventional,2015,Boise,37
2015-09-06,1.16,44134.65,5402.17,7991.75,conventional,2015,Boise,36
2015-08-30,1.19,40926.77,5809.92,7922.58,conventional,2015,Boise,35
2015-08-23,1.05,44059.22,14861.33,4433.12,conventional,2015,Boise,34
2015-08-16,1.12,46189.28,5258.21,6457.21,conventional,2015,Boise,33
2015-08-09,1.1,44739.54,5034,3931.19,conventional,2015,Boise,32
2015-08-02,1.07,51151.27,5140.89,5435.36,conventional,2015,Boise,31
2015-07-26,1.07,50978.38,4856.27,5479.57,conventional,2015,Boise,30
2015-07-19,1.09,45921.6,5300.3,5565.17,conventional,2015,Boise,29
2015-07-12,1.05,51828.75,5802.65,7474.4,conventional,2015,Boise,28
2015-07-05,1.15,61949.73,8022.13,8434.98,conventional,2015,Boise,27
2015-06-28,1.04,59111.33,6573.26,3974.75,conventional,2015,Boise,26
2015-06-21,1.06,52790.21,15444.74,5875.85,conventional,2015,Boise,25
2015-06-14,0.99,58791.25,17880.43,3135.99,conventional,2015,Boise,24
2015-06-07,1.12,61245.49,7237.55,6655.69,conventional,2015,Boise,23
2015-05-31,0.97,57373.57,7421.36,4028.3,conventional,2015,Boise,22
2015-05-24,1.03,54825.95,14839.33,6037.23,conventional,2015,Boise,21
2015-05-17,0.96,61319.66,7393.99,2919.87,conventional,2015,Boise,20
2015-05-10,1.06,62505.3,15896.54,7891.16,conventional,2015,Boise,19
2015-05-03,1,66880.12,7942.34,4289.72,conventional,2015,Boise,18
2015-04-26,0.96,69544.59,7985.48,3401.65,conventional,2015,Boise,17
2015-04-19,0.99,56843.62,21630.9,3260.22,conventional,2015,Boise,16
2015-04-12,1.19,44469.15,8506.36,7523.01,conventional,2015,Boise,15
2015-04-05,1.09,57339.81,9060.49,3790.38,conventional,2015,Boise,14
2015-03-29,0.98,59532.94,7119.52,3101.98,conventional,2015,Boise,13
2015-03-22,1.17,44227.33,6589.77,7290.24,conventional,2015,Boise,12
2015-03-15,1,51472.29,7018.29,2981.8,conventional,2015,Boise,11
2015-03-08,1.14,45879.84,7206.22,7403.75,conventional,2015,Boise,10
2015-03-01,1.06,40578,23738.56,3491.83,conventional,2015,Boise,9
2015-02-22,0.99,50872,16374.74,2122.09,conventional,2015,Boise,8
2015-02-15,1.14,41547.87,7840.31,6492.94,conventional,2015,Boise,7
2015-02-08,1.07,54229.34,9647.24,3047,conventional,2015,Boise,6
2015-02-01,0.91,67496.3,36532.33,2904.77,conventional,2015,Boise,5
2015-01-25,1.03,51922.06,7555.95,2061.16,conventional,2015,Boise,4
2015-01-18,1.08,50354.95,6342.37,2257.23,conventional,2015,Boise,3
2015-01-11,1.18,38112.34,10997.54,3321.89,conventional,2015,Boise,2
2015-01-04,1.01,44562.12,24964.23,2752.35,conventional,2015,Boise,1
2015-12-27,1.13,3886.27,346964.7,13952.56,conventional,2015,Boston,52
2015-12-20,1.07,4912.37,390100.99,5887.72,conventional,2015,Boston,51
2015-12-13,1.01,4641.02,455362.38,219.4,conventional,2015,Boston,50
2015-12-06,1.02,5126.32,407520.22,142.99,conventional,2015,Boston,49
2015-11-29,1.19,3609.25,272719.08,105.86,conventional,2015,Boston,48
2015-11-22,1.07,4457.62,383420.46,233.74,conventional,2015,Boston,47
2015-11-15,1.05,5310.32,420936.8,139.71,conventional,2015,Boston,46
2015-11-08,1.04,5304.09,542880.92,231.74,conventional,2015,Boston,45
2015-11-01,1.06,4886.14,449532.49,170.29,conventional,2015,Boston,44
2015-10-25,1.02,4005.39,430725.78,191.31,conventional,2015,Boston,43
2015-10-18,0.94,6409.86,627503.98,332.87,conventional,2015,Boston,42
2015-10-11,1.14,5145.86,378295.9,355.03,conventional,2015,Boston,41
2015-10-04,1.07,5804.31,427358.64,277.56,conventional,2015,Boston,40
2015-09-27,1.07,5210.84,463079.81,289.49,conventional,2015,Boston,39
2015-09-20,1.15,4376.74,398673.48,418.46,conventional,2015,Boston,38
2015-09-13,1.03,5422.29,560792.23,353.77,conventional,2015,Boston,37
2015-09-06,1.11,4237.44,477867.83,496.62,conventional,2015,Boston,36
2015-08-30,1.13,4177.03,438502.9,554.04,conventional,2015,Boston,35
2015-08-23,1.07,4744.11,488292.1,608.61,conventional,2015,Boston,34
2015-08-16,1.15,4460.85,464476.33,748.65,conventional,2015,Boston,33
2015-08-09,1.07,4173.23,590998.11,827.06,conventional,2015,Boston,32
2015-08-02,1.17,4442.2,468591.76,1451.95,conventional,2015,Boston,31
2015-07-26,1.28,4299.27,393281.62,1957.86,conventional,2015,Boston,30
2015-07-19,1.18,4720.08,477629.8,5071.77,conventional,2015,Boston,29
2015-07-12,1.14,5332.07,471639.53,9361.55,conventional,2015,Boston,28
2015-07-05,1.27,4743.46,418251.03,11053.82,conventional,2015,Boston,27
2015-06-28,1.25,4688.28,403230.6,9120.3,conventional,2015,Boston,26
2015-06-21,1.24,3582.45,404908.53,8899.2,conventional,2015,Boston,25
2015-06-14,1.08,5104.19,521254.77,6545.42,conventional,2015,Boston,24
2015-06-07,1.25,4034.11,421007.42,93.05,conventional,2015,Boston,23
2015-05-31,1.26,4128.35,418105.36,108.6,conventional,2015,Boston,22
2015-05-24,1.14,4601.66,490485.76,276.82,conventional,2015,Boston,21
2015-05-17,1.26,4285.68,380514.08,162.66,conventional,2015,Boston,20
2015-05-10,1.14,4601.5,476827.52,131.47,conventional,2015,Boston,19
2015-05-03,1.17,3828.64,429586.28,239.76,conventional,2015,Boston,18
2015-04-26,1.28,3915.3,352464.49,131.46,conventional,2015,Boston,17
2015-04-19,1.15,4013.71,384880.49,162.91,conventional,2015,Boston,16
2015-04-12,1.26,3575.89,294164.23,106.09,conventional,2015,Boston,15
2015-04-05,1.27,3657.54,330424.74,99.92,conventional,2015,Boston,14
2015-03-29,1.19,3619.31,339299.3,151.36,conventional,2015,Boston,13
2015-03-22,1.18,5956.18,344396.92,155.94,conventional,2015,Boston,12
2015-03-15,1.25,6085.75,308996.7,111.59,conventional,2015,Boston,11
2015-03-08,1.17,3425.53,290512.65,78.96,conventional,2015,Boston,10
2015-03-01,1.11,4106.42,383573.77,192.98,conventional,2015,Boston,9
2015-02-22,1.23,3232.68,251341.3,142.33,conventional,2015,Boston,8
2015-02-15,1.2,3794.97,281106.45,143.41,conventional,2015,Boston,7
2015-02-08,1.04,7653.19,495731.7,383.73,conventional,2015,Boston,6
2015-02-01,1.22,6082.88,373452.06,272.81,conventional,2015,Boston,5
2015-01-25,1.17,4730.77,288094.65,45.98,conventional,2015,Boston,4
2015-01-18,1.23,4383.76,287778.52,132.53,conventional,2015,Boston,3
2015-01-11,1.1,5548.11,320577.36,121.81,conventional,2015,Boston,2
2015-01-04,1.02,7193.87,396752.18,128.82,conventional,2015,Boston,1
2015-12-27,1.35,1367.81,39542.83,85.76,conventional,2015,BuffaloRochester,52
2015-12-20,1.37,1164.92,38430.71,106.67,conventional,2015,BuffaloRochester,51
2015-12-13,1.35,1421.12,40783.22,66.45,conventional,2015,BuffaloRochester,50
2015-12-06,1.23,1737.71,58197.34,167.12,conventional,2015,BuffaloRochester,49
2015-11-29,1.39,1514.69,35682.71,113.49,conventional,2015,BuffaloRochester,48
2015-11-22,1.4,1711.77,38780.66,107.53,conventional,2015,BuffaloRochester,47
2015-11-15,1.36,1803.78,41457.12,107.48,conventional,2015,BuffaloRochester,46
2015-11-08,1.3,1288.83,49507.25,55,conventional,2015,BuffaloRochester,45
2015-11-01,1.23,2181.17,61874.92,186.4,conventional,2015,BuffaloRochester,44
2015-10-25,1.36,1545.57,36645.91,79.64,conventional,2015,BuffaloRochester,43
2015-10-18,1.29,1536.35,40701.65,58.28,conventional,2015,BuffaloRochester,42
2015-10-11,1.3,2170.49,50862,96.18,conventional,2015,BuffaloRochester,41
2015-10-04,1.33,3020.03,38353.35,101.43,conventional,2015,BuffaloRochester,40
2015-09-27,1.31,1908.16,60292.79,106.47,conventional,2015,BuffaloRochester,39
2015-09-20,1.54,1445.25,39831.66,88.61,conventional,2015,BuffaloRochester,38
2015-09-13,1.59,1572.71,48468.73,134.33,conventional,2015,BuffaloRochester,37
2015-09-06,1.56,1471.69,49388.48,173.32,conventional,2015,BuffaloRochester,36
2015-08-30,1.38,1406.11,61600.62,241.67,conventional,2015,BuffaloRochester,35
2015-08-23,1.49,1287.09,43655.31,170.47,conventional,2015,BuffaloRochester,34
2015-08-16,1.5,1230.78,45937.58,258,conventional,2015,BuffaloRochester,33
2015-08-09,1.47,1139.74,56289.28,349.19,conventional,2015,BuffaloRochester,32
2015-08-02,1.47,1447.81,44620.7,471.55,conventional,2015,BuffaloRochester,31
2015-07-26,1.39,1679.28,45615.48,741.77,conventional,2015,BuffaloRochester,30
2015-07-19,1.36,1165.75,54492.85,2205.14,conventional,2015,BuffaloRochester,29
2015-07-12,1.45,1119.38,47294.67,4714.73,conventional,2015,BuffaloRochester,28
2015-07-05,1.47,1503.1,56925.46,6707.85,conventional,2015,BuffaloRochester,27
2015-06-28,1.36,1235.69,51801.73,5397.32,conventional,2015,BuffaloRochester,26
2015-06-21,1.5,1254.83,47845.57,5424.52,conventional,2015,BuffaloRochester,25
2015-06-14,1.34,1183.9,48286.51,4432.54,conventional,2015,BuffaloRochester,24
2015-06-07,1.38,779.02,57999.61,138.81,conventional,2015,BuffaloRochester,23
2015-05-31,1.4,1039.49,54249.06,79.38,conventional,2015,BuffaloRochester,22
2015-05-24,1.43,1033.76,55018.95,103.94,conventional,2015,BuffaloRochester,21
2015-05-17,1.35,932.52,61668.49,56.53,conventional,2015,BuffaloRochester,20
2015-05-10,1.33,1321.83,73754.3,185.16,conventional,2015,BuffaloRochester,19
2015-05-03,1.42,946.38,50266.22,81.86,conventional,2015,BuffaloRochester,18
2015-04-26,1.41,1117.56,49556.91,106.4,conventional,2015,BuffaloRochester,17
2015-04-19,1.42,1021.72,52954.82,59.18,conventional,2015,BuffaloRochester,16
2015-04-12,1.42,884.02,45443.61,92.75,conventional,2015,BuffaloRochester,15
2015-04-05,1.44,969.27,51023.86,95.69,conventional,2015,BuffaloRochester,14
2015-03-29,1.39,1352.63,48430.03,80.52,conventional,2015,BuffaloRochester,13
2015-03-22,1.4,3090.55,45420.06,48.2,conventional,2015,BuffaloRochester,12
2015-03-15,1.47,3500.48,45688.61,66.42,conventional,2015,BuffaloRochester,11
2015-03-08,1.35,1072.46,61973.56,102.31,conventional,2015,BuffaloRochester,10
2015-03-01,1.43,1032.92,41685.04,104.16,conventional,2015,BuffaloRochester,9
2015-02-22,1.41,1709.23,45393.96,131.72,conventional,2015,BuffaloRochester,8
2015-02-15,1.44,1520.76,43271.55,57.76,conventional,2015,BuffaloRochester,7
2015-02-08,1.36,1822.41,66261.92,161.96,conventional,2015,BuffaloRochester,6
2015-02-01,1.33,2117.73,64770.55,112.49,conventional,2015,BuffaloRochester,5
2015-01-25,1.5,1321.19,54007.48,74.53,conventional,2015,BuffaloRochester,4
2015-01-18,1.52,1625.26,61859.85,133.29,conventional,2015,BuffaloRochester,3
2015-01-11,1.54,1642.25,50985.2,79.61,conventional,2015,BuffaloRochester,2
2015-01-04,1.4,3267.97,55693.04,109.55,conventional,2015,BuffaloRochester,1
2015-12-27,0.9,1833946.59,1760956.02,232755.85,conventional,2015,California,52
2015-12-20,0.94,1676601.43,1543280.76,266689.82,conventional,2015,California,51
2015-12-13,0.87,1806690.08,1627240.76,232985.13,conventional,2015,California,50
2015-12-06,0.78,1943065.5,2100246.17,221957.26,conventional,2015,California,49
2015-11-29,0.91,1461699.38,1810202.7,222311.07,conventional,2015,California,48
2015-11-22,0.92,1602215.57,1917124.52,215632.16,conventional,2015,California,47
2015-11-15,0.83,2243013.44,2164098.99,195159.32,conventional,2015,California,46
2015-11-08,0.98,2317858.81,1758964.54,216523.58,conventional,2015,California,45
2015-11-01,0.95,2369824.75,2596785.28,211901.97,conventional,2015,California,44
2015-10-25,1.12,1733791.31,2025016.15,215622.63,conventional,2015,California,43
2015-10-18,1.07,1847991.31,2286235.79,217814.17,conventional,2015,California,42
2015-10-11,1.08,1757211.58,2530023.18,221032.74,conventional,2015,California,41
2015-10-04,1.02,1461112.39,2788317.94,222260.58,conventional,2015,California,40
2015-09-27,1.04,1860050.39,2635028.38,206460.07,conventional,2015,California,39
2015-09-20,1.14,1702965.49,2230693.51,273922.36,conventional,2015,California,38
2015-09-13,1.13,1863270.81,2388023.33,270794.34,conventional,2015,California,37
2015-09-06,1.09,2859325.91,2077193.6,240185,conventional,2015,California,36
2015-08-30,1.08,3104607.82,1660274.32,233027.36,conventional,2015,California,35
2015-08-23,1.18,2626977.95,1798911.33,222082.91,conventional,2015,California,34
2015-08-16,1.11,3098708.55,1731349,208724.73,conventional,2015,California,33
2015-08-09,1.1,3260775.73,2196704.97,193831.6,conventional,2015,California,32
2015-08-02,1.16,2940145.82,1737845.94,183471.03,conventional,2015,California,31
2015-07-26,1.13,3112921.78,1636659.9,209427.05,conventional,2015,California,30
2015-07-19,1.18,2805887.74,1629871.75,188207.47,conventional,2015,California,29
2015-07-12,1.13,2747299.98,1923893.11,157478.05,conventional,2015,California,28
2015-07-05,1.12,3581149.88,2120303.06,254187.47,conventional,2015,California,27
2015-06-28,1.1,3163839.74,1610910.07,212173.21,conventional,2015,California,26
2015-06-21,1.07,3328631.93,1743509.25,218423.77,conventional,2015,California,25
2015-06-14,0.97,4075881.34,1771908.98,210670.82,conventional,2015,California,24
2015-06-07,0.98,3614314.44,1860329.3,221330.48,conventional,2015,California,23
2015-05-31,0.98,3620440.35,1826496.62,209443.33,conventional,2015,California,22
2015-05-24,1.1,2978396.74,1873205.91,195991.06,conventional,2015,California,21
2015-05-17,1.08,2923673.93,1649623.66,168597.35,conventional,2015,California,20
